Freelancer_ID,Job_Category,Platform,Experience_Level,Client_Region,Payment_Method,Job_Completed,Earnings_USD,Hourly_Rate,Job_Success_Rate,Client_Rating,Job_Duration_Days,Project_Type,Rehire_Rate,Marketing_Spend
1,"Web Development",Fiverr,Beginner,Asia,"Mobile Banking",180,1620,95.79,68.73,3.18,1,Fixed,40.19,53
2,"App Development",Fiverr,Beginner,Australia,"Mobile Banking",218,9078,86.38,97.54,3.44,54,Fixed,36.53,486
3,"Web Development",Fiverr,Beginner,UK,Crypto,27,3455,85.17,86.6,4.2,46,Hourly,74.05,489
4,"Data Entry",PeoplePerHour,Intermediate,Asia,"Bank Transfer",17,5577,14.37,79.93,4.47,41,Hourly,27.58,67
5,"Digital Marketing",Upwork,Expert,Asia,Crypto,245,5898,99.37,57.8,5,41,Hourly,69.09,489
6,"Customer Support",Toptal,Beginner,Europe,Crypto,280,6867,43.04,57.8,4.87,8,Fixed,43.88,290
7,"Web Development",Fiverr,Beginner,USA,Crypto,96,1677,20.5,52.9,4.29,32,Hourly,45.99,343
8,"Data Entry",Toptal,Beginner,Australia,"Bank Transfer",112,6193,82.15,93.31,3.84,30,Fixed,31.59,168
9,"Content Writing",Toptal,Intermediate,USA,Crypto,233,8446,26.44,80.06,4.27,46,Fixed,50.11,396
10,"Data Entry",PeoplePerHour,Beginner,"Middle East","Mobile Banking",156,6608,54.99,85.4,4.57,52,Hourly,32.76,160
11,"App Development",Fiverr,Beginner,Australia,Crypto,112,5322,17.16,51.03,3.24,89,Fixed,12.75,14
12,"Customer Support",Toptal,Intermediate,Australia,"Mobile Banking",293,7931,50.09,98.5,3.82,61,Fixed,29.04,190
13,"Customer Support",Fiverr,Intermediate,Europe,"Mobile Banking",180,9033,58.02,91.62,4.68,13,Fixed,10.45,14
14,"Data Entry",Freelancer,Beginner,Canada,"Bank Transfer",290,3797,47.36,60.62,3.77,89,Hourly,78.48,286
15,"App Development",Freelancer,Beginner,UK,Crypto,245,9347,11.6,59.09,4.14,40,Hourly,77.6,362
16,"Data Entry",Freelancer,Intermediate,UK,"Bank Transfer",149,9332,51.07,59.17,4.18,61,Hourly,37.66,411
17,"Customer Support",Toptal,Expert,UK,"Mobile Banking",18,1657,49.55,65.21,3.37,44,Hourly,60.99,9
18,"Customer Support",Freelancer,Intermediate,"Middle East",PayPal,279,5124,29.85,76.24,3.72,62,Hourly,34.21,56
19,"Graphic Design",PeoplePerHour,Expert,Asia,Crypto,75,7203,92.55,71.6,3.67,44,Hourly,56.98,198
20,"Data Entry",PeoplePerHour,Beginner,Canada,"Bank Transfer",199,6783,44.69,64.56,3.05,48,Hourly,66.38,160
21,SEO,Toptal,Beginner,USA,PayPal,15,116,87.09,80.59,3.05,74,Hourly,76.27,262
22,"Data Entry",Fiverr,Expert,UK,Crypto,110,8050,15.42,56.97,4.66,59,Fixed,38.01,388
23,"Customer Support",Upwork,Intermediate,USA,Crypto,262,7695,35.29,64.61,3.55,57,Hourly,64.83,473
24,"Graphic Design",Fiverr,Beginner,Canada,"Bank Transfer",200,9520,21.75,68.32,4.04,11,Fixed,28.61,380
25,"Graphic Design",Fiverr,Expert,"Middle East",PayPal,149,4208,43.8,72.8,3.6,25,Fixed,79.32,252
26,"Content Writing",Fiverr,Intermediate,Canada,"Bank Transfer",224,9055,15.61,89.26,4.88,61,Hourly,11.8,118
27,"App Development",Fiverr,Expert,Europe,Crypto,178,452,46.9,59.98,3.52,46,Fixed,52.25,79
28,"Digital Marketing",Upwork,Intermediate,Asia,Crypto,220,7975,38.62,75.71,3.86,54,Fixed,56.17,123
29,"Web Development",Freelancer,Intermediate,UK,"Mobile Banking",97,4216,26.21,79.62,4.75,34,Hourly,58.16,312
30,"Web Development",Fiverr,Intermediate,"Middle East",Crypto,264,2975,66.01,52.32,4.68,84,Fixed,18.43,71
31,"Data Entry",PeoplePerHour,Intermediate,Europe,Crypto,67,3043,95.34,80.38,3.37,7,Hourly,75.7,469
32,"Content Writing",Toptal,Expert,UK,PayPal,33,9328,24.68,58.53,4.61,62,Fixed,22.68,481
33,"Data Entry",Toptal,Expert,Canada,PayPal,279,821,72.62,53.25,3.92,57,Fixed,53.59,167
34,"Web Development",PeoplePerHour,Expert,Canada,"Mobile Banking",289,7421,75.53,97.44,3.97,76,Hourly,25.59,283
35,"App Development",Fiverr,Expert,Australia,"Mobile Banking",74,9911,52.32,98.28,3.27,5,Fixed,31.51,493
36,"Customer Support",Upwork,Expert,Australia,"Mobile Banking",283,5763,90.28,90.42,3.16,76,Fixed,48.25,35
37,"App Development",Freelancer,Intermediate,Canada,"Bank Transfer",235,8217,96.81,65.23,4.46,35,Hourly,39.2,311
38,"App Development",Toptal,Beginner,Canada,"Bank Transfer",259,1606,39.41,54.88,3.99,84,Hourly,21.22,174
39,"Graphic Design",Freelancer,Beginner,USA,"Mobile Banking",176,1201,66.85,84.21,3.87,37,Fixed,21.97,198
40,"Customer Support",Upwork,Expert,Asia,"Bank Transfer",184,5364,67.91,72.01,4.46,60,Fixed,39.27,115
41,"Digital Marketing",Toptal,Expert,USA,Crypto,268,1267,43.35,56.1,4.53,65,Hourly,63.01,423
42,"Customer Support",Freelancer,Beginner,Asia,"Mobile Banking",187,3994,35.1,74.76,3.32,16,Fixed,72.86,314
43,"Content Writing",Upwork,Intermediate,Europe,"Mobile Banking",209,8089,93.71,51.72,4.22,30,Hourly,15.89,426
44,"Graphic Design",Freelancer,Expert,Australia,"Bank Transfer",253,2092,80.05,95.47,3.27,73,Hourly,37.52,219
45,"Digital Marketing",Fiverr,Intermediate,Australia,PayPal,217,6353,15.87,62.94,4.5,42,Hourly,17.02,378
46,"Content Writing",Upwork,Beginner,Canada,"Mobile Banking",163,8947,16.39,83.13,4.31,61,Fixed,11.16,65
47,"Content Writing",Freelancer,Beginner,Canada,"Bank Transfer",104,2719,92.64,65.59,4.91,74,Fixed,56.32,264
48,"Web Development",Fiverr,Expert,Europe,"Bank Transfer",116,2163,12.73,76,3.14,77,Fixed,52.17,133
49,"Graphic Design",Fiverr,Intermediate,"Middle East",PayPal,170,3027,70.4,77.34,3.11,48,Hourly,21.41,118
